Local Timestamp Pacific Time (Interval Ending),SP-15 LMP,Local Date,Hour Number
2023-01-04 08:30:00,194.8212,2023-01-04,9
2023-01-04 08:45:00,182.69,2023-01-04,9
2023-01-04 09:00:00,186.59764,2023-01-04,9
2023-01-04 09:15:00,191.99577,2023-01-04,10
2023-01-04 09:30:00,188.3879,2023-01-04,10
2023-01-04 09:45:00,168.17358,2023-01-04,10
2023-01-04 10:00:00,167.14465,2023-01-04,10
2023-01-04 10:15:00,168.63249,2023-01-04,11
2023-01-04 10:30:00,161.5188,2023-01-04,11
2023-01-04 10:45:00,159.9988,2023-01-04,11
2023-01-04 11:00:00,149.99799,2023-01-04,11
2023-01-04 11:15:00,149.9952,2023-01-04,12
2023-01-04 11:30:00,145.4488,2023-01-04,12
2023-01-04 11:45:00,148.9588,2023-01-04,12
2023-01-04 12:00:00,141.8286,2023-01-04,12
2023-01-04 12:15:00,150.42178,2023-01-04,13
2023-01-04 12:30:00,148.8952,2023-01-04,13
2023-01-04 12:45:00,143.13591,2023-01-04,13
2023-01-04 13:00:00,136.54758,2023-01-04,13
2023-01-04 13:15:00,142.1756,2023-01-04,14
2023-01-04 13:30:00,139.1013,2023-01-04,14
2023-01-04 13:45:00,139.54094,2023-01-04,14
2023-01-04 14:00:00,136.15625,2023-01-04,14
2023-01-04 14:15:00,132.76395,2023-01-04,15
2023-01-04 14:30:00,132.19237,2023-01-04,15
2023-01-04 14:45:00,143.00671,2023-01-04,15
2023-01-04 15:00:00,149.9964,2023-01-04,15
2023-01-04 15:15:00,145.55,2023-01-04,16
2023-01-04 15:30:00,161.92,2023-01-04,16
2023-01-04 15:45:00,180.9158,2023-01-04,16
2023-01-04 16:00:00,190.06696,2023-01-04,16
2023-01-04 16:15:00,169.76427,2023-01-04,17
2023-01-04 16:30:00,186.1361,2023-01-04,17
2023-01-04 16:45:00,220.0,2023-01-04,17
2023-01-04 17:00:00,244.0,2023-01-04,17
2023-01-04 17:15:00,219.40504,2023-01-04,18
2023-01-04 17:30:00,239.17162,2023-01-04,18
2023-01-04 17:45:00,247.31366,2023-01-04,18
2023-01-04 18:00:00,247.24083,2023-01-04,18
2023-01-04 18:15:00,232.14935,2023-01-04,19
2023-01-04 18:30:00,217.25815,2023-01-04,19
2023-01-04 18:45:00,216.23051,2023-01-04,19
2023-01-04 19:00:00,211.55205,2023-01-04,19
2023-01-04 19:15:00,219.80972,2023-01-04,20
2023-01-04 19:30:00,219.76376,2023-01-04,20
2023-01-04 19:45:00,210.94223,2023-01-04,20
2023-01-04 20:00:00,212.51723,2023-01-04,20
2023-01-04 20:15:00,200.18459,2023-01-04,21
2023-01-04 20:30:00,195.08044,2023-01-04,21
2023-01-04 20:45:00,194.95615,2023-01-04,21
2023-01-04 21:00:00,195.6434,2023-01-04,21
2023-01-04 21:15:00,193.42557,2023-01-04,22
2023-01-04 21:30:00,186.34047,2023-01-04,22
2023-01-04 21:45:00,179.77278,2023-01-04,22
2023-01-04 22:00:00,173.78584,2023-01-04,22
2023-01-04 22:15:00,180.0,2023-01-04,23
2023-01-04 22:30:00,181.02866,2023-01-04,23
2023-01-04 22:45:00,169.16602,2023-01-04,23
2023-01-04 23:00:00,157.68465,2023-01-04,23
2023-01-04 23:15:00,168.92091,2023-01-04,24
2023-01-04 23:30:00,157.2812,2023-01-04,24
2023-01-04 23:45:00,149.75584,2023-01-04,24
2023-01-05 00:00:00,145.10548,2023-01-04,24
2023-01-05 00:15:00,138.0888,2023-01-05,1
2023-01-05 00:30:00,136.58511,2023-01-05,1
2023-01-05 00:45:00,136.54572,2023-01-05,1
2023-01-05 01:00:00,135.48985,2023-01-05,1
2023-01-05 01:15:00,143.94052,2023-01-05,2
2023-01-05 01:30:00,136.17818,2023-01-05,2
2023-01-05 01:45:00,137.03667,2023-01-05,2
2023-01-05 02:00:00,137.74074,2023-01-05,2
2023-01-05 02:15:00,135.70508,2023-01-05,3
2023-01-05 02:30:00,135.70508,2023-01-05,3
2023-01-05 02:45:00,136.85239,2023-01-05,3
2023-01-05 03:00:00,140.0,2023-01-05,3
2023-01-05 03:15:00,138.9988,2023-01-05,4
2023-01-05 03:30:00,139.2688,2023-01-05,4
2023-01-05 03:45:00,144.05748,2023-01-05,4
2023-01-05 04:00:00,137.74074,2023-01-05,4
2023-01-05 04:15:00,140.9812,2023-01-05,5
2023-01-05 04:30:00,144.05748,2023-01-05,5
2023-01-05 04:45:00,152.0867,2023-01-05,5
2023-01-05 05:00:00,164.62956,2023-01-05,5
2023-01-05 05:15:00,165.729,2023-01-05,6
2023-01-05 05:30:00,180.86,2023-01-05,6
2023-01-05 05:45:00,185.0,2023-01-05,6
2023-01-05 06:00:00,195.0,2023-01-05,6
2023-01-05 06:15:00,184.03189,2023-01-05,7
2023-01-05 06:30:00,198.14539,2023-01-05,7
2023-01-05 06:45:00,216.86166,2023-01-05,7
2023-01-05 07:00:00,215.87364,2023-01-05,7
2023-01-05 07:15:00,188.14207,2023-01-05,8
2023-01-05 07:30:00,193.86127,2023-01-05,8
2023-01-05 07:45:00,183.4403,2023-01-05,8
2023-01-05 08:00:00,159.63985,2023-01-05,8
2023-01-05 08:15:00,159.527,2023-01-05,9
2023-01-05 08:30:00,159.02757,2023-01-05,9
2023-01-05 08:45:00,146.21594,2023-01-05,9
2023-01-05 09:00:00,135.77274,2023-01-05,9
2023-01-05 09:15:00,151.07024,2023-01-05,10
2023-01-05 09:30:00,169.3485,2023-01-05,10
2023-01-05 09:45:00,151.75563,2023-01-05,10
2023-01-05 10:00:00,145.55496,2023-01-05,10
2023-01-05 10:15:00,169.27734,2023-01-05,11
2023-01-05 10:30:00,168.46883,2023-01-05,11
2023-01-05 10:45:00,158.62584,2023-01-05,11
2023-01-05 11:00:00,137.20885,2023-01-05,11
2023-01-05 11:15:00,174.21,2023-01-05,12
2023-01-05 11:30:00,167.6488,2023-01-05,12
2023-01-05 11:45:00,157.7,2023-01-05,12
2023-01-05 12:00:00,141.1712,2023-01-05,12
2023-01-05 12:15:00,139.75208,2023-01-05,13
2023-01-05 12:30:00,137.15907,2023-01-05,13
2023-01-05 12:45:00,136.93974,2023-01-05,13
2023-01-05 13:00:00,138.4246,2023-01-05,13
2023-01-05 13:15:00,144.99698,2023-01-05,14
